"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 12:07:43 GMT 2022","Tue Jul 19 12:07:45 GMT 2022","2365","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
"passed","Tue Jul 19 12:07:40 GMT 2022","Tue Jul 19 12:07:43 GMT 2022","3020","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
"passed","Tue Jul 19 12:07:34 GMT 2022","Tue Jul 19 12:07:40 GMT 2022","6404","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"passed","Tue Jul 19 12:07:31 GMT 2022","Tue Jul 19 12:07:34 GMT 2022","2731","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
"passed","Tue Jul 19 12:07:27 GMT 2022","Tue Jul 19 12:07:31 GMT 2022","3585","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
