"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 12:22:02 GMT 2022","Tue Jul 19 12:22:09 GMT 2022","6657","","SeleniumTest","","SeleniumTest","AlertTest","Felugró ablak ellenőrzése",""
"passed","Tue Jul 19 12:22:09 GMT 2022","Tue Jul 19 12:22:11 GMT 2022","2391","","SeleniumTest","","SeleniumTest","NamecardTest","Névjegykártyák",""
"passed","Tue Jul 19 12:21:56 GMT 2022","Tue Jul 19 12:22:00 GMT 2022","3934","","SeleniumTest","","SeleniumTest","TestInput","Beviteli mezők tesztelése (Two input fields)",""
"passed","Tue Jul 19 12:22:11 GMT 2022","Tue Jul 19 12:22:14 GMT 2022","2875","","SeleniumTest","","SeleniumTest","TableTest","Táblázat sorai",""
"passed","Tue Jul 19 12:22:00 GMT 2022","Tue Jul 19 12:22:02 GMT 2022","2499","","SeleniumTest","","SeleniumTest","SelectDayTest","Lenyíló lista tesztelése",""
